snt_id,cn_snts,section,chinese_offset
1,当 我 还 只有 六 岁 的 时候 在 一 本 描写 原始 森林 的 名 叫 真实 的 故事 的 书 中 看到 了 一 幅 精彩 的 插画,1,7.47
2,画 的 是 一 条 蟒蛇 正在 吞食 一 只 大 野兽,1,11.3
3,页头 上 就 是 那 幅 画 的 摹本,1,14.07
4,这 本 书 中 写道 这些 蟒蛇 把 它们 的 猎获物 不加 咀嚼 地 囫囵 吞下,1,19.93
5,尔后 就 不 能 再 动弹 了 它们 就 在 长长 的 六 个 月 的 睡眠 中 消化 这些 食物,1,26.22
6,当时 我 对 丛林 中 的 奇遇 想 得 很 多 于是 我 也 用 彩色 铅笔 画 出 了 我 的 第一 幅 图画,1,34.13
7,我 的 第一 号 作品,1,35.98
8,它 是 这样 的 我 把 我 的 这 幅 杰作 拿 给 大人 看 我 问 他们 我 的 画 是 不 是 叫 他们 害怕,1,44
9,他们 回答 我 说 害怕 一 顶 帽子 有 什么 可怕 的,1,49.6
10,我 画 的 不 是 帽子,1,51.7
11,是 一 条 巨蟒 在 消化 着 一 头 大象,1,54.39
12,既然 大人们 不 能够 理解 于是 我 又 把 巨蟒 肚子 里 的 情况 画 了 出来 以便 让 大人们 能够 看懂,1,61.97
13,这些 大人 总是 需要 解释,1,64.53
14,我 的 第二 号 作品 是 这样 的 大人们 劝 我 把 这些 画 着 开 着 肚皮 的 或 闭上 肚皮 的 蟒蛇 的 图画 放在 一边 还是 把 兴趣 放 在 地理 历史 算术 语法 上,1,77.91
15,就 这样 在 六 岁 的 那 年 我 就 放弃 了 当 画家 这 一 美好 的 职业,1,83.63
16,我 的 第一 号 第二 号 作品 的 不 成功 使 我 泄 了 气,1,87.82
17,这些 大人们 靠 他们 自己 什么 也 弄 不 懂 还 得 老是 不断 地 给 他们 作 解释,1,93.93
18,后来 我 只好 选择 了 另外 一 个 职业 我 学会 了 开 飞机,1,99.46
19,世界 各 地 差不多 都 飞到 过,1,101.71
20,的确 地理学 帮 了 我 很 大 的 忙,1,104.78
21,我 一眼 就 能 分辨 出 中国 和 亚利桑那,1,107.7
22,要是 夜里 迷失 了 航向 这 是 很 有用 的,1,110.7
23,这样 在 我 的 生活 中 我 跟 许多 严肃 的 人 有 过 很多 的 接触,1,115.83
24,我 在 大人们 中间 生活 过 很 长 时间,1,118.51
25,我 仔细 地 观察 过 他们,1,120.52
26,但 这 并没有 使 我 对 他们 的 看法 有 多 大 的 改变,1,124.18
27,当 我 遇到 一 个 头脑 看来 稍微 清楚 的 大人 时 我 就 拿出 一直 保存 着 的 我 那 第一 号 作品 来 测试 测试 他,1,132.24
28,我 想 知道 他 是否 真的 有 理解 能力,1,135.59
29,可是 得到 的 回答 总 是 这 是 顶 帽子,1,139.44
30,我 就 不 和 他 谈 巨蟒 呀 原始 森林 呀 或者 星星 之类 的 事,1,144.33
31,我 只得 迁就 他 的 水平,1,146.27
32,和 他们 谈 些 桥牌 呀 高尔夫球 呀 政治 呀 领带 呀 这些,1,150.76
33,于是 大人们 就 十分 高兴 能 认识 我 这样 一 个 通情达理 的 人,1,156.02
34,我 就 这样 孤独 地 生活 着 没有 一 个 能 真正 谈 得 来 的 人 一直 到 六 年 前 在 撒哈拉 沙漠 上 发生 了 那 次 故障,1,165.43
35,我 的 发动机 里 有 个 东西 损坏 了 当时 由于 我 既 没有 带 机械师 也 没有 带 旅客 我 就 试图 独自 完成 这个 困难 的 维修 工作,1,175.31
36,这 对 我 来说 是 个 生 与 死 的 问题,1,178.56
37,我 随身 带 的 水 只 够 饮用 一 星期,1,181.7
38,第一 天 晚上 我 就 睡 在 这 远离 人间 烟火 的 大 沙漠 上,1,186.15
39,我 比 大海 中 伏 在 小 木排 上 的 遇难者 还 要 孤独 得 多,1,190.54
40,而 在 第二 天 拂晓 当 一 个 奇怪 的 小 声音 叫醒 我 的 时候 你们 可以 想见 我 当时 是 多么 吃惊,1,198.41
41,这 小小 的 声音 说道 请 你 给 我 画 一 只 羊 好 吗,1,203.43
42,啊,1,204.58
43,给 我 画 一 只 羊,1,206.44
44,我 像 是 受到 惊雷 轰击 一般 一下子 就 站立 起来,1,210.66
45,我 使劲 地 揉 了 揉 眼睛,1,212.91
46,仔细 地 看 了 看,1,213.88
47,我 看见 一个 十分 奇怪 的 小家伙 严肃 地 朝 我 凝眸 望 着,1,218.33
48,这 是 后来 我 给 他 画 出来 的 最 好 的 一 幅 画像,1,222.14
49,可是 我 的 画 当然 要 比 他 本人 的 模样 逊色 得 多,1,227.34
50,这 不是 我 的 过错,1,229.17
51,六 岁 时 大人们 使 我 对 我 的 画家 生涯 失去 了 勇气 除了 画 过 开 着 肚皮 和 闭 着 肚皮 的 蟒蛇 后来 再 没有 学 过 画,1,238.96
52,我 惊奇 地 睁大 着 眼睛 看 着 这 突然 出现 的 小家伙,1,243.49
53,你们 不要 忘记 我 当时 处 在 远离 人烟 千 里 之外 的 地方,1,248.43
54,而 这个 小家伙 给 我 的 印象 是 他 既 不 象 迷 了 路 的 样子 也 没有 半点 疲乏 饥渴 惧怕 的 神情,1,256.59
55,他 丝毫 不 象 是 一 个 迷失 在 旷无人烟 的 大 沙漠 中 的 孩子,1,261.36
56,当 我 在 惊讶 之中 终于 又 能 说出 话 来 的 时候 对 他 说道 唉 你 在 这 干 什么,1,268.91
57,可是 他 却 不慌不忙 地 好象 有 一 件 重要 的 事 一般 对 我 重复 地 说道 请 给 我 画 一 只 羊 当 一 种 神秘 的 东西 把 你 镇住 的 时候 你 是 不 敢 不 听从 它 的 支配 的,1,283.25
58,在 这 旷无人烟 的 沙漠 上 面临 死亡 的 危险 的 情况 下 尽管 这样 的 举动 使 我 感到 十分 荒诞 我 还是 掏出 了 一 张 纸 和 一 支 钢笔,1,293.68
59,这时 我 却 又 记起 我 只 学 过 地理 历史 算术 和 语法 就 有点 不 大 高兴 地 对 小家伙 说 我 不 会 画画,1,303.94
60,他 回答 我 说 没有 关系,1,306.91
61,给 我 画 一 只 羊 吧,1,308.46
62,因为 我 从来 没有 画 过 羊 我 就 给 他 重 画 我 所 仅仅 会 画 的 两 幅 画 中 的 那,1,314.9
63,闭着 肚皮 的 巨蟒,1,316.19
64,不 不 我 听 了 他 的 话 简直 目瞪口呆,1,321.03
65,我 不 要 蟒蛇 它 肚子 里 还 有 一 头 象,1,324.93
66,巨蟒 这 东西 太 危险 大象 又 太 占 地方,1,328.81
67,我 住 的 地方 非常 小,1,330.8
68,我 需要 一 只 羊,1,332.19
69,给 我 画 一 只 羊 吧,1,334.32
70,我 就 给 他 画 了,1,336.38
71,他 专心 地 看 着 随后 又 说 我 不要,1,340.44
72,这 只 羊 已经 病 得 很 重 了,1,343.04
73,给 我 重新 画 一 只,1,344.82
74,我 又 画 了 起来 我 的 这 位 朋友 天真 可爱 地 笑 了 你 看 你 画 的 不 是 小羊 他 说 是 头 公羊,1,355.7
75,还 有 犄角 呢 于是 我 又 重新 画 了 一 张 这 幅 画 同 前 几 幅 一样 又 被 拒绝 了 这 一 只 太 老 了,1,365.73
76,我 想要 一 只 能 活 得 长 的 羊,1,368.47
77,我 不耐烦 了 因为 我 急于 要 检修 发动机 于是 就 草草 画 了 这 张 画 并且 匆匆 地 对 他 说道 这 是 一 只 箱子,1,378.68
78,你 要 的 羊 就 在 里面,1,380.55
79,这时 我 十分 惊奇 地 看到 我 的 这 位 小 评判员 喜笑颜开 他 说 这 正 是 我 想 要 的,1,389.07
80,你 说 这 只 羊 需要 很多 草 吗,1,391.96
81,为什么,1,393.29
82,因为 我 住 的 地方 一切 都 非常 小 地方 小 也 够 喂养 它 的 我 说,1,400.07
83,我 给 你 画 的 是 一 只 很 小 的 小羊,1,402.94
84,他 把 脑袋 靠 近 这 张 画 并 不 像 你 说 的 那么 小,1,408.64
85,它 睡着 了 就 这样 我 认识 了 小王子,1,413.42
86,我 费 了 好 长 时间 才 弄 清楚 他 是 从 哪里 来 的,1,417.72
87,小王子 向 我 提出 了 很多 问题 可是 对 我 提出 的 问题 他 好象 压根 没有 听见 似的,1,424.44
88,他 无意 中 吐露 的 一些 话 逐渐 使 我 搞清 了 他 的 来历,1,428.47
89,例如 当 他 第一 次 瞅见 我 的 飞机 时 我 就 不 画出 我 的 飞机 了 因为 这 种 图画 对 我 来说 太 复杂 他 问 我 道 这 是 个 啥 玩意,1,439.14
90,这 不 是 玩意,1,440.94
91,它 能 飞,1,441.89
92,这 是 飞机,1,443.14
93,是 我 的 飞机,1,444.32
94,我 当时 很 骄傲 地 告诉 他 我 能 飞,1,447.08
95,于是 他 惊奇 地 说道 怎么,1,449.95
96,你 是 从 天 上 掉 下来 的,1,451.93
97,是 的 我 谦逊 地 答道,1,454.61
98,啊,1,455.4
99,这 真 滑稽,1,456.75
100,此时 小王子 发出 一 阵 清脆 的 笑声 这 使 我 很 不 高兴,1,462.01
101,我 要求 别人 严肃 地 对待 我 的 不幸,1,464.58
102,然后 他 又 说道 那么 你 也 是 从 天 上 来 的 了,1,469.1
103,你 是 哪个 星球 上 的,1,471.23
104,即刻 对于 他 是 从 哪里 来 的 这个 秘密 我 隐约 发现 到 了 一点 线索 于是 我 就 突然 问道 你 是 从 另 一 个 星球 上 来 的 吗,1,481.95
105,可是 他 不 回答 我 的 问题,1,484.27
106,他 一面 看 着 我 的 飞机 一面 微微 地 点点 头 接着 说道 可 不 是 么 乘坐 这 玩艺 你 不 可能 是 从 很 远 的 地方 来 的 说到 这里 他 就 长 时间 地 陷入 沉思 之中,1,497.43
107,然后 从 口袋 里 掏出 了 我 画 的 小羊 看 着 他 的 宝贝 入 了 神,1,502.08
108,你们 可以 想见 这 种 关于 别的 星球 的 若明若暗 的 话语 使 我 心里 多么 好奇,1,507.48
109,因此 我 竭力 地 想 知道 其中 更 多 的 奥秘 你 是 从 哪里 来 的 我 的 小家伙,1,513.5
110,你 的 家 在 什么 地方,1,515.21
111,你 要 把 你 的 小羊 带到 哪里 去,1,517.43
112,他 沉思 了 一会 然后 回答 我 说 好在 有 你 给 我 的 那 只 箱子 夜晚 可以 给 小羊 当 房子 用,1,525.25
113,那 当然,1,526.67
114,如果 你 听话 的话 我 再 给 你 画 一 根 绳子 白天 可以 它,1,531.16
115,我 的 建议 看来 有点 使 小王子 反感 它,1,536.01
116,多么 奇怪 的 主意,1,537.52
117,如果 你 不 它 它 就 到处 跑 那么 它 会 跑 丢 的,1,542.27
118,我 的 这 位 朋友 又 笑 出 了 声 你 想 要 它 跑到 哪里 去 呀,1,547.55
119,不管 什么 地方,1,549.31
120,它 一直 往 前 跑 这时 小王子 郑重其事 地 说 这 没有 什么 关系 我 那里 很 小 很 小,1,557.74
121,接着 他 略 带 伤感 地 又 补充 了 一 句 一直 朝 前 走 也 不会 走出 多 远,1,564.95
122,我 还 了解 到 另 一 件 重要 的 事 就是 他 老家 所在 的 那个 星球 比 一 座 房子 大 不 了 多少,2,6.22
123,这 倒 并没有 使 我 感到 太 奇怪,2,8.82
124,我 知道 除 地球 木星 火星 金星 这 几 个 有 名称 的 大 行星 以外 还 有 成百 个 别的 星球 它们 有的 小 得 很 就 是 用 望远镜 也 很 难 看见,2,20.39
125,当 一 个 天文 学者 发现 了 其中 一个 星星 他 就 给 它 编上 一 个 号码,2,25.85
126,例如 把 它 称作 325 小 行星,2,28.83
127,我 有 重要 的 根据 认为 小王子 所 来自 的 那个 星球 是 小 行星 B612,2,34.96
128,这 颗 小 行星 仅仅 被 用 望远镜 看见 过 一 次 在 1909年 被 一 个 土耳其 天文学家,2,42.34
129,当时 他 曾经 在 一 次 国际 天文学家 代表 大会 上 对 他 的 发现 作 了 重要 的 论证,2,49.41
130,但 由于 他 所 穿 衣服 的 缘故 那时 没有 人 相信 他,2,53.93
131,那些 大人们 就是 这样,2,56.39
132,幸好 土耳其 的 一 个 独裁者 为了 小 行星 B612 的 声誉 迫使 他 的 人民 都 要 穿 欧式 服装 否则 就 处以 死刑,2,67.13
133,1920年 这 位 天文学家 穿 了 一身 非常 漂亮 的 服装 重新 作 了 一 次 论证,2,73.53
134,这 一 次 所有 的 人 都 同意 他 的 看法,2,76.61
135,我 给 你们 讲 关于 小 行星 B612 的 这些 细节 并且 告诉 你们 它 的 编号 这 是 由于 这些 大人 的 缘故,2,85.16
136,当 你 对 大人们 讲 起 你 的 一 个 新 朋友 时 他们 从来 不 向 你 提出 实质性 的 问题,2,90.83
137,他们 从来 不 讲 他 说话 声音 如何 啊,2,94.16
138,他 喜爱 什么样 的 游戏 啊,2,96.16
139,他 是否 收集 蝴蝶 标本 呀,2,98.28
140,他们 却 问 你 他 多 大 年纪 呀,2,101.5
141,弟兄 几 个 呀,2,102.68
142,体重 多少 呀,2,103.95
143,他 父亲 挣 多少 钱 呀,2,105.8
144,他们 以为 这样 才 算 了解 朋友,2,109.18
145,如果 你 对 大人们 说 我 看到 一 幢 用 玫瑰色 的 砖 盖 成 的 漂亮 的 房子 它 的 窗户 上 有 天竺葵 屋顶 上 还 有 鸽子 他们 怎么 也 想象 不 出 这种 房子 有 多么 好,2,122.18
146,必须 对 他们 说 我 看见 了 一 幢 价值 十万 法郎 的 房子,2,126.59
147,那么 他们 就 惊叫 道 多么 漂亮 的 房子 啊,2,130.04
148,要是 你 对 他们 说 小王子 存在 的 证据 就 是 他 非常 漂亮 他 笑 着 想 要 一 只 羊,2,137.69
149,他 想 要 一 只 小 羊 这 就 证明 他 的 存在 但是 告诉 他们 有 什么 好处 呢 他们 一定 会 耸耸 肩膀 把 你 当作 孩子 看待,2,147.61
150,但是 如果 你 对 他们 说 小王子 来自 的 星球 就 是 小 行星 B612 那么 他们 就 十分 信服 他们 就 不 会 提出 一 大 堆 问题 来 和 你 纠缠,2,159.16
151,他们 就 是 这样 的,2,160.95
152,不 要 埋怨 他们,2,165.32
153,小孩子们 对 大人们 应该 宽厚 些,2,163.91
154,当然 对 我们 懂得 生活 的 人 来说 我们 才 不 在乎 那些 编号 呢,2,171.31
155,我 真 愿意 像 讲 神话 那样 来 开始 这个 故事,2,174.93
156,我 真 想 这样 说 从前 呀 有 一 个 小王子 他 住 在 一 个 和 他 身体 差不多 大 的 星球 上 他 希望 有 一 个 朋友 对 懂得 生活 的 人 来说 这样 说 就 显得 真实,2,189.57
157,我 可 不 喜欢 人们 轻率 地 读 我 的 书 我 在 讲述 这些 往事 时 心情 是 很 难过 的,2,196.62
158,我 的 朋友 带 着 他 的 小羊 已经 离去 六 年 了,2,200.45
159,我 之所以 在 这里 尽力 把 他 描写 出来 就 是 为了 不要 忘记 他,2,206.26
160,忘记 一 个 朋友 这 太 叫人 悲伤 了,2,210.28
161,并 不 是 所有 的 人 都 有 过 一 个 朋友,2,213.68
162,再 说 我 也 可能 变成 那些 大人 那样 只 对 数字 感 兴趣,2,219.62
163,也 正 是 为了 这个 缘故 我 买 了 一 盒 颜料 和 一些 铅笔,2,224.55
164,象 我 这样 年纪 的 人 而且 除了 六 岁 时 画 过 闭 着 肚皮 的 和 开 着 肚皮 的 巨蟒 外 别的 什么 也 没有 尝试 过 现在 重新 再 来 画画 真 费劲 啊,2,236.54
165,当然 我 一定 要 把 这些 画 尽量 地 画 得 逼真,2,241.07
166,但 我 自己 也 没有 把握,2,243.58
167,一 张 画 得 还 可以 另 一 张 就 不 像 了,2,247.62
168,还有 身材 大小 我 画得 有点 不 准确 在 这个 地方 小王子 画 得 太 大 了 些 另 一 个 地方 又 画 得 太 小 了 些,2,257.51
169,对 他 衣服 的 颜色 我 也 拿 不 准,2,260.5
170,于是 我 就 摸索 着 这么 试试 那么 改改 画 个 大概 齐,2,266.19
171,我 很 可能 在 某些 重要 的 细节 上 画 错 了,2,269.86
172,这 就 得 请 大家 原谅 我 了,2,272.54
173,因为 我 的 这个 朋友 从来 也 不 加 说明 解释,2,276.56
174,他 认为 我 同 他 一样,2,278.5
175,可是 很 遗憾 我 却 不 能 透过 盒子 看见 小羊,2,283.38
176,我 大概 有点 和 大人们 差不多,2,286.16
177,我 一定 是 变 老 了,2,289.05
178,每天 我 都 了解 到 一些 关于 小王子 的 星球 他 的 出走 和 旅行 等 事情,2,295.8
179,这些 都 是 偶然 从 各种 反应 中 慢慢 得到 的,2,299.55
180,就 这样 第三 天 我 就 了解 到 关于 猴面包树 的 悲剧,2,305.48
181,这 一 次 又 是 因为 羊 的 事情 突然 小王子 好象 是 非常 担心 地 问 我 道 羊 吃 小 灌木 这 是 真的 吗,2,315.5
182,是 的,2,316.82
183,是 真 的,2,318.01
184,啊,2,319.15
185,我 真 高兴,2,321.17
186,我 不 明白 羊 吃 小 灌木 这 件 事 为什么 如此 重要,2,325.65
187,可 小王子 又 说 道 因此 它们 也 吃 猴面包树 啰,2,331.37
188,我 对 小王子 说 猴面包树 可 不是 小 灌木 而 是 像 教堂 那么 大 的 大树 即便 是 带回 一群 大象 也 啃 不 了 一 棵 猴面包树,2,342.44
189,一 群 大象 这种 想法 使 小王子 发笑 那 可得 把 这些 大象 一 只 叠 一 只 地 垒 起来 他 很 有 见识 地 说 猴面包树 在 长大 之前 开始 也 是 小小 的,2,356.07
190,那 是 不错 我 说,2,357.63
191,可是 为什么 你 想 叫 你 的 羊 去 吃 小 猴面包树 呢,2,362.47
192,他 回答 我 道 唉 这 还 用 说 似乎 这 是 不言而喻 的,2,368.94
193,可是 我 自己 要 费 很 大 的 心劲 才 能 弄 懂 这 个 问题,2,373.42
194,原来 在 小王子 的 星球 上 就 象 其他 所有 星球 上 一样 有 好草 和 坏草,2,380.23
195,因此 也 就 有 益草 的 草籽 和 毒草 的 草籽,2,384.31
196,可是 草籽 是 看 不 见 的,2,386.72
197,它们 沉睡 在 泥土 里 直 到 其中 的 一 粒 忽然 想要 苏醒 过来,2,391.63
198,于是 它 就 伸展 开 身子 开始 腼腆 地 朝着 太阳 长出 一 棵 秀丽 可爱 的 小 嫩苗 如果 是 小 萝卜 或是 玫瑰 的 嫩苗 就 让 它 去 自由 地 生长,2,403.22
199,如果 是 一 棵 坏苗 一旦 被 辨认 出来 就 应该 马上 把 它 拔掉,2,408.19
200,因为 在 小王子 的 星球 上 有些 非常 可怕 的 种子 这 就 是 猴面包树 的 种子,2,415.06
201,在 那里 的 泥土 里 这 种 种子 多 得 成灾,2,418.75
202,而 一 棵 猴面包树 苗 假如 你 拔 得 太 迟 就 再也 无法 把 它 清除 掉,2,424.21
203,它 就 会 盘踞 整个 星球,2,426.5
204,它 的 树根 能 把 星球 钻透,2,428.88
205,如果 星球 很 小 而 猴面包树 很 多 它 就 把 整 个 星球 搞 得 支离破碎,2,434.62
206,这 是 个 纪律 问题 小王子 后来 向 我 解释 道,2,440.07
207,当 你 早上 梳洗 完毕 以后 必须 仔细 地 给 星球 梳洗,2,444.75
208,必须 规定 自己 按时 去 拔掉 猴面包树 苗 这 种 树苗 小 的 时候 与 玫瑰苗 差不多 一旦 可以 把 它们 区别 开 的 时候 就 要 把 它 拔掉,2,455.36
209,这 是 一 件 非常 乏味 的 工作 但 很 容易 小王子 说,2,461.03
210,有一天 他 劝 我 用心 地 画 一 幅 漂亮 的 图画 好 叫 我 家乡 的 孩子们 对 这 件 事 有 一 个 深刻 的 印象,2,468.99
211,他 还 对 我 说 如果 将来 有 一 天 他们 出外 旅行 这 对 他们 是 很 有用 的,2,476.1
212,有时候 人们 把 自己 的 工作 推到 以后 去 做 并 没有 什么 妨害,2,481.79
213,但 要 遇到 拔 猴面包树 苗 这 种 事 那 就 非 造成 大 灾难 不可,2,487.21
214,我 遇到 过 一 个 星球 上面 住 着 一 个 懒 家伙,2,491.06
215,他 放过 了 三 棵 小 树苗 于是 根据 小王子 的 说明 我 把 这个 星球 画 了 下来,2,498.34
216,我 从来 不 大 愿意 以 道学家 的 口吻 来 说话,2,501.97
217,可是 猴面包树 的 危险 大家 都 不 大 了解 对 迷失 在 小 行星 上 的 人 来说 危险性 非常 之 大 因此 这 一 回 我 贸然 打破 了 我 的 这 种 不 喜欢 教训 人 的 惯例,2,514.23
218,孩子们 我 说,2,516.85
219,要 当心 那些 猴面包树 呀,2,519.15
220,为了 叫 我 的 朋友们 警惕 这 种 危险 他们 同 我 一样 长期以来 和 这 种 危险 接触 却 没有 意识 到 它 的 危险性 我 花 了 很 大 的 功夫 画 了 这 幅 画,2,531.39
221,我 提出 的 这个 教训 意义 是 很 重大 的 花 点 功夫 是 很 值得 的,2,536.99
222,你们 也许 要 问 为什么 这 本 书 中 别的 画 都 没有 这 幅 画 那么 壮观 呢,2,542.64
223,回答 很 简单 我 也 试 了 别的 画 我 也 曾经 试图 画得 好 些 却 没 成功,2,550.04
224,而 当 我 画 猴面包树 时 有 一 种 急切 的 心情 在 激励 着 我,2,554.77
225,啊,2,557.06
226,小王子 就 这样 我 逐渐 懂得 了 你 那 忧郁 的 生活,2,561.96
227,过去 相当 长 的 时间 里 你 唯一 的 乐趣 就 是 观赏 那 夕阳西下 的 温柔 晚景,2,568.24
228,这个 新 的 细节 是 我 在 第四 天 早晨 知道 的 你 当时 对 我 说道 我 喜欢 看 日落,2,576
229,我们 去 看 一 回 日落 吧 可是 得 等 着 我 说 等 什么,2,583.97
230,等 太阳 落山 我们 必须 等 到 那个 时候,2,587.77
231,开始 你 显得 很 惊奇 的 样子 随后 你 笑 自己 的 糊涂,2,593
232,你 对 我 说 我 总 以为 是 在 我 的 家乡 呢,2,597.47
233,确实,2,599.1
234,大家 都 知道 在 美国 是 正午 时分 在 法国 正 夕阳西下,2,604.61
235,只要 在 一 分钟 内 赶到 法国 就 可 看到 日落,2,608.03
236,可惜 法国 是 那么 的 遥远,2,610.98
237,而 在 你 那样 的 小 行星 上 你 只要 把 你 的 椅子 挪动 几 步 就 行 了,2,616.11
238,这样 你 便 可 随时 看到 你 想 看 的 夕阳 余辉 一 天 我 看见 过 四十三 次 日落 你 对 我 说,2,625.92
239,过 一会 你 又 说 你 知道 当 人们 感到 非常 苦闷 时 总是 喜欢 日落 的 你 怎么 会 这么 苦闷 我 问 一 天 四十三 次,2,639.51
240,但是 小王子 没有 回答,2,642.66
241,第五 天 还是 羊 的 事 把 小王子 的 生活 秘密 向 我 揭开 了,3,5.02
242,好象 默默 地 思索 了 很 长 时间 以后 得出 了 什么 结果 一样 他 突然 没头没脑 地 问 我 羊 要是 吃 小 灌木 它 也 要 吃 花 罗 羊 它 碰到 什么 吃 什么 我 回答,3,19.21
243,连 有 刺 的 花 也 吃 吗,3,21.27
244,有 刺 的 也 吃,3,22.84
245,那么 刺 有 什么 用 呢,3,25.26
246,我 不 知道 该 怎么 回答,3,27.87
247,那会 我 正 忙 着 要 从 发动机 上 卸下 一 颗 拧 得 太 紧 的 螺丝,3,32.37
248,我 发现 机器 故障 似乎 很 严重 饮水 也 快 完 了 担心 可能 发生 最 坏 的 情况 心里 很 着急,3,39.52
249,那么 刺 有 什么 用 呢,3,41.75
250,小王子 一旦 提出 了 问题 从来 不 会 放过,3,45.15
251,这个 该死 的 螺丝 使 我 很 恼火 我 于是 就 随便 回答 了 他 一 句 刺 么 什么 用 都 没有 这 纯粹 是 花 的 恶劣 表现,3,53.72
252,噢,3,54.85
253,可是 他 沉默 了 一会 之后 怀 着 不满 的 心情 冲 我 说 我 不 信,3,60.32
254,花 是 弱小 的,3,61.75
255,它们 是 淳朴 的,3,62.99
256,它们 总是 设法 保护 自己,3,64.99
257,以为 有 了 刺 就 可以 显出 自己 的 厉害 我 默不作声,3,69.98
258,我 当时 想 的 如果 这个 螺丝 再 和 我 作对 我 就 一 锤子 敲掉 它,3,74.37
259,小王子 又 来 打搅 我 的 思绪 了 你 却 认为 花,3,78.3
260,算了 吧,3,79.01
261,我 哭 说,3,80.22
262,我 是 随便 回答 你 的,3,85.2
263,我 可 有 正经 事 要 做,3,86.58
264,他 惊讶 地 看 着 我,3,88.29
265,正经 事,3,89.91
266,他 瞅 着 我 手 拿 锤子 手指 沾满 了 油污 伏 在 一 个 在 他 看来 丑不可言 的 机件 上,3,96.22
267,你 说话 就 和 那些 大人 一样,3,99.51
268,这 话 使 我 有点 难堪,3,102.41
269,可是 他 又 尖刻无情 地 说道 你 什么 都 分 不 清 你 把 什么 都 混 在 一起,3,107.83
270,他 着实 非常 恼火,3,109.96
271,摇动 着 脑袋 金黄色 的 头发 随 风 颤动 着 我 到 过 一 个 星球 上面 住 着 一 个 红 脸 先生,3,117.27
272,他 从来 没 闻 过 一 朵 花,3,119.11
273,他 从来 没有 看 过 一 颗 星星,3,121.42
274,他 什么 人 也 没有 喜欢 过,3,123.43
275,除了 算账 以外 他 什么 也 没有 做 过,3,126.27
276,他 整天 同 你 一样 老是 说 我 有 正经事 我 是 个 严肃 的 人,3,131.47
277,这 使 他 傲气 十足,3,133.84
278,他 简直 不 像 是 个 人 他 是 个 蘑菇,3,136.35
279,是 个 什么,3,137.59
280,是 个 蘑菇,3,139.07
281,小王子 当时 气 得 脸色 发 白,3,144.31
282,几百万 年 以来 花 都 在 制造 着 刺,3,146.43
283,几百万 年 以来 羊 仍然 在 吃 花,3,149.26
284,要 搞 清楚 为什么 花 费 那么 大 劲 给 自己 制造 没有 什么 用 的 刺 这 难道 不 是 正经 事,3,155.22
285,难道 羊 和 花 之间 的 战争 不 重要,3,157.78
286,这 难道 不 比 那个 大 胖子 红 脸 先生 的 帐目 更 重要,3,161.62
287,如果 我 认识 一 朵 人世 间 唯一 的 花 只有 我 的 星球 上 有 它 别的 地方 都 不 存在 而 一 只 小羊 胡里胡涂 就 这样 把 它 一下子 毁掉 了 这 难道 不 重要,3,172.46
288,他 的 脸 气 得 发红 然后 又 接着 说道 如果 有 人 爱上 了 在 这 亿万 颗 星星 中 独一无二 的 一 株 花 当 他 看 着 这些 星星 的 时候 这 就 足以 使 他 感到 幸福,3,186.27
289,他 可以 自言自语 地 说 我 的 那 朵 花 就 在 其中 的 一 颗 星星 上 但是 如果 羊 吃掉 了 这 朵 花 对 他 来说 好象 所有 的 星星 一下子 全 都 熄灭 了 一样,3,197.81
290,这 难道 也 不 重要 吗,3,200.03
291,他 无法 再 说 下去 了,3,202.63
292,突然 泣不成声,3,204.57
293,夜幕 已经 降临,3,206.74
294,我 放下 手 中 的 工具,3,208.39
295,我 把 锤子 螺钉 饥渴 死亡 全都 抛在 脑后,3,213.52
